old_label,new_label,source_filename,submission_filename,rows
S1a Table,S1 Table,S1a_baseline.csv,S1_baseline.csv,3
S1b Table,S2 Table,S1b_OS_population_variants.csv,S2_OS_population_variants.csv,9
S2a Table,S3 Table,S2a_score_registry_corrected.csv,S3_score_registry.csv,6
S2b Table,S4 Table,S2b_reference_member_universe.csv,S4_reference_member_universe.csv,10818
S2c Table,S5 Table,S2c_reference_population_and_reconstruction.csv,S5_reference_population_and_reconstruction.csv,15
S2d Table,S6 Table,S2d_primary_probe_mapping.csv,S6_primary_probe_mapping.csv,7
S3a Table,S7 Table,S3a_OS_all45_R.csv,S7_OS_all45_R.csv,45
S3b Table,S8 Table,S3b_OX4_PH_diagnostics.csv,S8_OX4_PH_diagnostics.csv,9
S4a Table,S9 Table,S4a_transcript_and_subcohort_correlations.csv,S9_transcript_and_subcohort_correlations.csv,9
S4b Table,S10 Table,S4b_variance_decomposition.csv,S10_variance_decomposition.csv,15
S4c Table,S11 Table,S4c_reference_pair_all108.csv,S11_reference_pair_all108.csv,108
S4d Table,S12 Table,S4d_reference_pairs_by_cohort.csv,S12_reference_pairs_by_cohort.csv,3
S4e Table,S13 Table,S4e_coverage_rank_diagnostic.csv,S13_coverage_rank_diagnostic.csv,3
S5a Table,S14 Table,S5a_extended_clinical_adjustment_source.csv,S14_extended_clinical_adjustment_source.csv,95
S5b Table,S15 Table,S5b_OS_time_and_stage_sensitivities.csv,S15_OS_time_and_stage_sensitivities.csv,27
S6a Table,S16 Table,S6a_recurrence_diagnostic_all300.csv,S16_recurrence_diagnostic_all300.csv,300
S6b Table,S17 Table,S6b_fiveyear_sensitivity_all30.csv,S17_fiveyear_sensitivity_all30.csv,30
S7a Table,S18 Table,S7a_KEAP1_case_classification.csv,S18_KEAP1_case_classification.csv,14
S7b Table,S19 Table,S7b_MSI_model_versions.csv,S19_MSI_model_versions.csv,6
S8a Table,S20 Table,S8a_published_seed_uses.csv,S20_published_seed_uses.csv,5
S8b Table,S21 Table,S8b_supplement_cell_trace.csv,S21_supplement_cell_trace.csv,985
S9a Table,S22 Table,S9a_targeted_source_inventory20.csv,S22_targeted_source_inventory20.csv,20
S10a Table,S23 Table,S10a_matched_null_summary.csv,S23_matched_null_summary.csv,6
S10b Table,S24 Table,S10b_matched_null_all6000_R.csv,S24_matched_null_all6000_R.csv,6000
S11a Table,S25 Table,S11a_GSE71187_R_recheck.csv,S25_GSE71187_R_recheck.csv,6
S11b Table,S26 Table,S11b_GSE71187_probe_coverage.csv,S26_GSE71187_probe_coverage.csv,8
S12a Table,S27 Table,S12a_main_reference_verification.csv,S27_main_reference_verification.csv,17
