"cohort","variant","model","n","events","n_coefficients","score_SD_in_fit","beta","se","HR","lo","hi","p","HR_per_fitSD","lo_per_fitSD","hi_per_fitSD","concordance"
"TCGA","as_submitted","M0",367,85,1,1,-0.142833541686096,0.105139281378359,0.866898359325205,0.705459064198543,1.06528189024619,0.17429956968219,0.866898359325205,0.705459064198543,1.06528189024619,0.526875571820677
"TCGA","as_submitted","M1",367,85,7,1,-0.0633439817526375,0.112760328955272,0.938620549810571,0.752500042030239,1.1707753984302,0.574281123618748,0.938620549810571,0.752500042030239,1.1707753984302,0.714547118023788
"TCGA","as_submitted","M2",367,85,15,1,-0.0603748093149024,0.148354501373968,0.941411617606846,0.703878423233629,1.25910356747926,0.684035082469175,0.941411617606846,0.703878423233629,1.25910356747926,0.724268069533394
"TCGA","complete_stage","M0",350,78,1,1.00383342391241,-0.113878747772825,0.109782447592613,0.892366150706073,0.719605347980149,1.10660287498022,0.299590061292791,0.891976677283021,0.718698212110509,1.10703265906347,0.515085924176833
"TCGA","complete_stage","M1",350,78,6,1.00383342391241,-0.0417872781771564,0.118048685851767,0.95907377479632,0.760968966043592,1.20875166602966,0.723351304717203,0.958920154653873,0.760172535644506,1.20963047187938,0.713760986488259
"TCGA","complete_stage","M2",350,78,14,1.00383342391241,-0.0202957806073996,0.153511521081893,0.979908792420478,0.725293874638794,1.32390645369942,0.894818076261216,0.979832556198269,0.724401433032827,1.32533122438278,0.722353404171586
"TCGA","positive_time","M0",367,85,1,1,-0.142833541686096,0.105139281378359,0.866898359325205,0.705459064198543,1.06528189024619,0.17429956968219,0.866898359325205,0.705459064198543,1.06528189024619,0.526875571820677
"TCGA","positive_time","M1",367,85,7,1,-0.0633439817526375,0.112760328955272,0.938620549810571,0.752500042030239,1.1707753984302,0.574281123618748,0.938620549810571,0.752500042030239,1.1707753984302,0.714547118023788
"TCGA","positive_time","M2",367,85,15,1,-0.0603748093149024,0.148354501373968,0.941411617606846,0.703878423233629,1.25910356747926,0.684035082469175,0.941411617606846,0.703878423233629,1.25910356747926,0.724268069533394
"GSE39582","as_submitted","M0",561,191,1,1.00229916486993,-0.13319078180241,0.07251920079758,0.875298085231995,0.759322709026339,1.0089869944667,0.0662648572011428,0.875030085865867,0.758842190555561,1.00900774983249,0.542483843776342
"GSE39582","as_submitted","M1",561,191,7,1.00229916486993,-0.0624990484103061,0.0764446465095309,0.93941395674969,0.808697333972303,1.09125941815747,0.413601278381899,0.939278976780265,0.808302638068514,1.09147855601407,0.700337173363304
"GSE39582","as_submitted","M2",561,191,15,1.00229916486993,0.084850290637987,0.101774012680277,1.08855408776097,0.891698886825552,1.32886787175382,0.404442879108937,1.08876646884106,0.891463914246697,1.32973685723927,0.717687552683338
"GSE39582","complete_stage","M0",557,190,1,1.00419488849311,-0.130615356707075,0.0726556002831753,0.877555255225106,0.761077312287135,1.01185939133955,0.0722193588592911,0.877074559610572,0.76020615712078,1.01190943523739,0.541194673934645
"GSE39582","complete_stage","M1",557,190,6,1.00419488849311,-0.0606558057217793,0.0765153282361666,0.941147121487876,0.810077101292578,1.09342419736539,0.427936598029277,0.940907682391583,0.809361672195531,1.09383394000108,0.700266871078557
"GSE39582","complete_stage","M2",557,190,14,1.00419488849311,0.0844853179167621,0.101785982837528,1.08815686770501,0.891352587717126,1.32841412595905,0.406522385528813,1.08854258590533,0.890922635238011,1.32999759402556,0.716960508758482
"GSE39582","positive_time","M0",555,187,1,1.00459227220457,-0.126226795042002,0.0732893547849187,0.881414923578863,0.763475739335403,1.01757295940249,0.085013855438397,0.880904143782763,0.762530123562194,1.01765436742166,0.539491240283095
"GSE39582","positive_time","M1",555,187,7,1.00459227220457,-0.0512812261624851,0.0773400919912582,0.950011464882992,0.8163861552642,1.10550843812026,0.507291259978412,0.949787766042273,0.815625944344952,1.10601778520921,0.701981088293306
