cohort,set,gene,measured,clean_member,exclusion_set
TCGA-COADREAD,S_nrf2,ABCC1,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,ABCC2,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,G6PD,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,GCLC,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,GCLM,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,GRK6,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,GSR,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,GSTM4,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,HMOX1,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,ME1,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,NQO1,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,PRDX1,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,TXN,True,True,OX6_fixed
TCGA-COADREAD,S_nrf2,TXNRD1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ABL1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ANAPC1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ANAPC10,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ANAPC11,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ANAPC13,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ANAPC15,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,ANAPC16,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ANAPC2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ANAPC4,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ANAPC5,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ANAPC7,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ATM,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ATR,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ATRX,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,AURKB,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,BUB1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,BUB1B,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,BUB3,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCNA1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCNA2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCNB1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCNB2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCNB3,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCND1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCND2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCND3,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCNE1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCNE2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CCNH,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC14A,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC14B,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC14C,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC16,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC20,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC23,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC25A,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC25B,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC25C,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC26,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC27,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC45,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC6,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDC7,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDCA5,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDK1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDK4,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDK6,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDK7,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDKN1A,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDKN1B,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDKN1C,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,CDKN2A,True,True,OX6_fixed
