cohort,score,max_error_vs_v03,reference_n,analysis_n,analysis_sd
TCGA-COADREAD,OX3,4.440892098500626e-16,367,367,1.0
TCGA-COADREAD,OX4,4.440892098500626e-16,367,367,1.0
TCGA-COADREAD,OX5,4.440892098500626e-16,367,367,1.0
TCGA-COADREAD,OX5_noNRF2,4.440892098500626e-16,367,367,1.0
TCGA-COADREAD,OX6,4.440892098500626e-16,367,367,0.9999999999999998
GSE39582,OX3,4.440892098500626e-16,566,561,1.002855693659845
GSE39582,OX4,4.440892098500626e-16,566,561,1.0022991648699324
GSE39582,OX5,4.440892098500626e-16,566,561,1.0037960550445646
GSE39582,OX5_noNRF2,4.440892098500626e-16,566,561,1.0041993584819724
GSE39582,OX6,4.440892098500626e-16,566,561,0.9960047997680213
GSE17538,OX3,4.440892098500626e-16,232,232,1.0
GSE17538,OX4,4.440892098500626e-16,232,232,1.0
GSE17538,OX5,4.440892098500626e-16,232,232,1.0
GSE17538,OX5_noNRF2,4.440892098500626e-16,232,232,1.0
GSE17538,OX6,4.440892098500626e-16,232,232,1.0
