cohort,set_a,set_b,n,jaccard_measured_clean_audit,shared,rho_clean_audit,n_a_declared,n_b_declared,n_shared_declared,jaccard_declared,n_shared_measured,jaccard_measured,n_shared_measured_clean,jaccard_measured_clean_upstream,rho_raw,n_obs_raw,rho_clean_upstream,n_obs_clean,rho_abs_error,jaccard_abs_error
TCGA-COADREAD,S_nrf2,S_prolif,367,0.0,0,0.4050227616570953,14,157,0,0.0,0,0.0,0,0.0,0.4050227616570953,367,0.4050227616570953,367,5.551115123125783e-17,0.0
TCGA-COADREAD,S_nrf2,S_mito,367,0.0021030494216614,2,0.395031520622411,14,1136,2,0.0017421602787456,2,0.0020986358866736,2,0.0021030494216614,0.3974679113072221,367,0.395031520622411,367,0.0,9.107298248878237e-18
TCGA-COADREAD,S_nrf2,ferroptosis,367,0.0080321285140562,10,0.0196843665092901,14,1679,10,0.005941770647653,10,0.0080128205128205,10,0.0080321285140562,0.023635368740787,367,0.0196843665092901,367,3.4694469519536136e-17,2.4286128663675302e-17
TCGA-COADREAD,S_nrf2,apoptosis,367,0.0,0,0.0839853195080219,14,138,0,0.0,0,0.0,0,0.0,0.1018067065319352,367,0.0839853195080219,367,2.775557561562892e-17,0.0
TCGA-COADREAD,S_nrf2,necroptosis,367,0.0,0,0.0626584042369309,14,168,0,0.0,0,0.0,0,0.0,0.1043545264041048,367,0.0626584042369309,367,8.326672684688674e-17,0.0
TCGA-COADREAD,S_nrf2,parthanatos,367,0.0123456790123456,1,-0.0795706359086503,14,78,1,0.0109890109890109,1,0.0120481927710843,1,0.0123456790123456,-0.0600787821348181,367,-0.0795706359086503,367,9.714451465470121e-17,7.806255641895632e-17
TCGA-COADREAD,S_nrf2,mitophagy,367,0.0,0,-0.0012432001491548,14,104,0,0.0,0,0.0,0,0.0,0.0316332654238387,367,-0.0012432001491548,367,8.630249292984614e-17,0.0
TCGA-COADREAD,S_nrf2,oxstress,367,0.0373831775700934,4,0.1784593057694586,14,132,4,0.028169014084507,4,0.036697247706422,4,0.0373831775700934,0.167106637975067,367,0.1784593057694586,367,0.0,5.551115123125783e-17
TCGA-COADREAD,S_prolif,S_mito,367,0.0,0,0.3301472030545677,157,1136,0,0.0,0,0.0,0,0.0,0.3325814088533524,367,0.3301472030545677,367,5.551115123125783e-17,0.0
TCGA-COADREAD,S_prolif,ferroptosis,367,0.0198675496688741,27,0.1181195511370147,157,1679,28,0.0154867256637168,27,0.0198237885462555,27,0.0198675496688741,0.1261570185336598,367,0.1181195511370147,367,0.0,7.28583859910259e-17
