cohort,score,model,n,events,HR,lo95,hi95,p,n_params,EPV,covariates_used,dropped_constant,n_analysis_subset,note
GSE39582,OX3,M1,561,191,0.8996018216800272,0.7756417542800745,1.0433727079599706,0.1619094552170352,7,27.285714285714285,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,主模型（本文口径）
GSE39582,OX3,M1(cc:chemo),545,180,0.9122366767745892,0.7825712022057636,1.0633866312830917,0.2402832666935901,7,25.714285714285715,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 chemo 的同批完整病例
GSE39582,OX3,M1+chemo,545,180,0.9114981739543229,0.7818659085313373,1.0626232862393248,0.23644323423727834,8,22.5,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo,,561,M1 + chemo
GSE39582,OX3,M1(cc:mmr),515,176,0.9403059815744995,0.8046502354952143,1.0988318899088196,0.438747482773432,7,25.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 mmr 的同批完整病例
GSE39582,OX3,M1+mmr,515,176,0.9420085228239301,0.8051970868874041,1.1020656576183203,0.4555811995962846,8,22.0,age;male;stg_II;stg_III;stg_IV;stg_Unknown;mmr,,561,M1 + mmr
GSE39582,OX3,M1(cc:side),561,191,0.8996018216800272,0.7756417542800745,1.0433727079599706,0.1619094552170352,7,27.285714285714285,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 side 的同批完整病例
GSE39582,OX3,M1+side,561,191,0.8994201341216789,0.7755460921185535,1.0430799482899051,0.16088769771616535,8,23.875,age;male;stg_II;stg_III;stg_IV;stg_Unknown;side_prox,,561,M1 + side
GSE39582,OX3,M1(cc:chemo+mmr+side),499,165,0.9576487490822778,0.8147986088214774,1.125543314249554,0.5995514935605769,7,23.571428571428573,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 chemo+mmr+side 的同批完整病例
GSE39582,OX3,M1+chemo+mmr+side,499,165,0.9587696738252046,0.814811648673637,1.1281616910401822,0.6119938924139374,10,16.5,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo;mmr;side_prox,,561,M1 + chemo+mmr+side
GSE39582,OX4,M1,561,191,0.9394141383581284,0.8086996776229883,1.0912566775605432,0.4136028739472515,7,27.285714285714285,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,主模型（本文口径）
GSE39582,OX4,M1(cc:chemo),545,180,0.9493715786008078,0.8139379472853087,1.1073404271923644,0.5082316461088652,7,25.714285714285715,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 chemo 的同批完整病例
