cohort,gene,diagonal_fraction
TCGA,KEAP1,0.27216972964497504
TCGA,PGAM5,0.27216972964497493
TCGA,AIFM1,0.27216972964497493
TCGA,OTUD1,0.27216972964497504
TCGA,sum_signed_cross_terms,-0.08867891857989996
GSE39582,KEAP1,0.2096983329189772
GSE39582,PGAM5,0.20985153950940963
GSE39582,AIFM1,0.20979872922609388
GSE39582,OTUD1,0.20888288496817584
GSE39582,sum_signed_cross_terms,0.16176851337734344
GSE17538,KEAP1,0.12693421456270126
GSE17538,PGAM5,0.12693421456270126
GSE17538,AIFM1,0.12693421456270126
GSE17538,OTUD1,0.12693421456270126
GSE17538,sum_signed_cross_terms,0.49226314174919494
