number,doi,pmid,title,author_string,exact_identity_match,notice_metadata,publication_types,support_scope,support_basis,metadata_check_date,status_limit
1,10.1038/s41590-017-0013-y,29255269,"Oxeiptosis, a ROS-induced caspase-independent apoptosis-like cell-death pathway.","Holze C, Michaudel C, Mackowiak C, Haas DA, Benda C, Hubel P, Pennemann FL, Schnepf D, Wettmarshausen J, Braun M, Leung DW, Amarasinghe GK, Perocchi F, Staeheli P, Ryffel B, Pichlmair A.",1,"{""commentCorrection"": [{""source"": ""MED"", ""id"": ""29348507"", ""reference"": ""Nat Immunol. 2018 Feb;19(2):103-105. doi: 10.1038/s41590-017-0034-6."", ""type"": ""Comment in"", ""orderIn"": 1}]}","{""pubType"": [""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article"", ""Research Support, N.I.H., Extramural""]}",Original mechanistic definition; not clinical calibration of OX4.,Source-specific evidence ledger and available primary text; claim scope reviewed separately from bibliographic identity,2026-09-22,Metadata check is not an absolute absence-of-notice certification
2,10.1038/s41419-022-05145-5,35941131,OTUD1 deubiquitinase regulates NF-κB- and KEAP1-mediated inflammatory responses and reactive oxygen species-associated cell death pathways.,"Oikawa D, Gi M, Kosako H, Shimizu K, Takahashi H, Shiota M, Hosomi S, Komakura K, Wanibuchi H, Tsuruta D, Sawasaki T, Tokunaga F.",1,{},"{""pubType"": [""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article""]}",OTUD1 association with KEAP1 stress responses; no equal-weight quantitative score validated.,Source-specific evidence ledger and available primary text; claim scope reviewed separately from bibliographic identity,2026-09-22,Metadata check is not an absolute absence-of-notice certification
3,10.1038/s41420-023-01376-3,36914635,Targeting oxeiptosis-mediated tumor suppression: a novel approach to treat colorectal cancers by sanguinarine.,"Pallichankandy S, Thayyullathil F, Cheratta AR, Subburayan K, Alakkal A, Sultana M, Drou N, Arshad M, Tariq S, Galadari S.",1,{},"{""pubType"": [""research-article"", ""Journal Article""]}",Sanguinarine CRC experiments include protein/phosphorylation and perturbations; bounded to model context.,Source-specific evidence ledger and available primary text; claim scope reviewed separately from bibliographic identity,2026-09-22,Metadata check is not an absolute absence-of-notice certification
4,10.18632/aging.204726,37211398,Identification and validation of oxeiptosis-associated lncRNAs and prognosis-related signature genes to predict the immune status in uterine corpus endometrial carcinoma.,"Niu L, Wu Z.",1,{},"{""pubType"": [""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article""]}",Endometrial lncRNA model derives other variables from seed members.,Source-specific evidence ledger and available primary text; claim scope reviewed separately from bibliographic identity,2026-09-22,Metadata check is not an absolute absence-of-notice certification
5,10.1097/MD.0000000000037189,38363905,Identification of oxeiptosis-associated lncRNAs and prognosis-related signature to predict the immune status in gastric cancer.,"Wen L, Xu K, Huang M, Pan Q.",1,{},"{""pubType"": [""research-article"", ""Journal Article""]}",Gastric lncRNA model derives other variables from seed members.,Source-specific evidence ledger and available primary text; claim scope reviewed separately from bibliographic identity,2026-09-22,Metadata check is not an absolute absence-of-notice certification
6,10.1038/s41392-025-02137-7,39915443,Neoadjuvant apatinib addition to sintilimab and carboplatin-taxane based chemotherapy in patients with early triple-negative breast cancer: the phase 2 NeoSAC trial.,"Shen G, Liu Z, Wang M, Zhao Y, Liu X, Hou Y, Ma W, Han J, Zhou X, Ren D, Zhao F, Li Z, Huang S, Chen Y, He Y, Liu Y, Zhu Z, Li Y, Li J, Da M, Mo H, Du F, Cui L, Bai J, Liu Z, Ma F, Zhao J.",1,{},"{""pubType"": [""Clinical Trial, Phase II"", ""Research Support, Non-U.S. Gov't"", ""research-article"", ""Multicenter Study"", ""Journal Article""]}",NeoSAC treatment-response process score; algorithm identity with OX5 not established.,Source-specific evidence ledger and available primary text; claim scope reviewed separately from bibliographic identity,2026-09-22,Metadata check is not an absolute absence-of-notice certification
7,10.1177/00368504261432995,41854308,Machine learning-driven transcriptomic and single-cell profiling of programed cell death patterns in colon cancer.,"Du JO, Huang QK, Sun XC, Hu SK, Lin TS.",1,{},"{""pubType"": [""research-article"", ""Journal Article""]}",Colon cancer broader programmed-cell-death index; not the investigator-defined OX4.,Source-specific evidence ledger and available primary text; claim scope reviewed separately from bibliographic identity,2026-09-22,Metadata check is not an absolute absence-of-notice certification
8,10.3389/fonc.2024.1483987,39610918,Identification of key programmed cell death genes for predicting prognosis and treatment sensitivity in colorectal cancer.,"Ma JY, Wang YX, Zhao ZY, Xiong ZY, Zhang ZL, Cai J, Guo JW.",1,{},"{""pubType"": [""research-article"", ""Journal Article""]}",CRC broader programmed-cell-death model; seed list does not identify terminal three-gene model.,Source-specific evidence ledger and available primary text; claim scope reviewed separately from bibliographic identity,2026-09-22,Metadata check is not an absolute absence-of-notice certification
9,10.1371/journal.pcbi.1002240,22028643,Most random gene expression signatures are significantly associated with breast cancer outcome.,"Venet D, Dumont JE, Detours V.",1,{},"{""pubType"": [""Research Support, Non-U.S. Gov't"", ""research-article"", ""Journal Article""]}",Random-signature motivation in breast cancer; extrapolated methodological rationale.,Source-specific evidence ledger and available primary text; claim scope reviewed separately from bibliographic identity,2026-09-22,Metadata check is not an absolute absence-of-notice certification
10,10.1371/journal.pmed.1001453,23700391,"Gene expression classification of colon cancer into molecular subtypes: characterization, validation, and prognostic value.","Marisa L, de Reyniès A, Duval A, Selves J, Gaub MP, Vescovo L, Etienne-Grimaldi MC, Schiappa R, Guenot D, Ayadi M, Kirzin S, Chazal M, Fléjou JF, Benchimol D, Berger A, Lagarde A, Pencreach E, Piard F, Elias D, Parc Y, Olschwang S, Milano G, Laurent-Puig P, Boige V.",1,{},"{""pubType"": [""Research Support, Non-U.S. Gov't"", ""research-article"", ""Validation Study"", ""Multicenter Study"", ""Journal Article""]}",GSE39582 cohort provenance and recurrence-window context.,Source-specific evidence ledger and available primary text; claim scope reviewed separately from bibliographic identity,2026-09-22,Metadata check is not an absolute absence-of-notice certification
